timeline,low,tertile,medium,high
760.0,0.9603567523638181,low,,
762.0,0.9603567523638181,low,,
788.0,0.9603567523638181,low,,
789.0,0.9603567523638181,low,,
795.0,0.9603567523638181,low,,
798.0,0.9603567523638181,low,,
803.0,0.9603567523638181,low,,
811.0,0.9558899767714284,low,,
812.0,0.9558899767714284,low,,
819.0,0.9558899767714284,low,,
821.0,0.9513810617866577,low,,
858.0,0.9513810617866577,low,,
865.0,0.9513810617866577,low,,
867.0,0.9513810617866577,low,,
875.0,0.9513810617866577,low,,
883.0,0.946785018009911,low,,
907.0,0.946785018009911,low,,
912.0,0.9421665545074231,low,,
915.0,0.9421665545074231,low,,
918.0,0.9421665545074231,low,,
921.0,0.9374791587138536,low,,
926.0,0.9374791587138536,low,,
931.0,0.9374791587138536,low,,
943.0,0.932744415488026,low,,
972.0,0.932744415488026,low,,
975.0,0.932744415488026,low,,
984.0,0.932744415488026,low,,
987.0,0.932744415488026,low,,
996.0,0.932744415488026,low,,
997.0,0.932744415488026,low,,
1000.0,0.932744415488026,low,,
1001.0,0.932744415488026,low,,
1004.0,0.932744415488026,low,,
1006.0,0.932744415488026,low,,
1025.0,0.932744415488026,low,,
1026.0,0.932744415488026,low,,
1027.0,0.932744415488026,low,,
1032.0,0.9276194461721582,low,,
1035.0,0.9276194461721582,low,,
1059.0,0.9276194461721582,low,,
1062.0,0.9276194461721582,low,,
1066.0,0.9276194461721582,low,,
1074.0,0.9276194461721582,low,,
1088.0,0.9276194461721582,low,,
1093.0,0.9223187636226028,low,,
1106.0,0.9223187636226028,low,,
1140.0,0.9223187636226028,low,,
1142.0,0.9169564452294487,low,,
1152.0,0.9115941268362939,low,,
1156.0,0.9115941268362939,low,,
1158.0,0.9115941268362939,low,,
1162.0,0.9115941268362939,low,,
1163.0,0.9115941268362939,low,,
1174.0,0.9115941268362939,low,,
1179.0,0.9115941268362939,low,,
1198.0,0.9115941268362939,low,,
1203.0,0.9115941268362939,low,,
1208.0,0.9115941268362939,low,,
1219.0,0.9115941268362939,low,,
1220.0,0.9115941268362939,low,,
1232.0,0.9115941268362939,low,,
1239.0,0.9115941268362939,low,,
1242.0,0.9115941268362939,low,,
1246.0,0.9115941268362939,low,,
1248.0,0.9115941268362939,low,,
1251.0,0.9115941268362939,low,,
