sample_id,CAF_proxy-high_checkpoint_score-low,immune-desert_APM-low,TLS-rich,CAF_proxy-high_CXCL1_MDSC_axis-low,antigen-presenting,immune-desert
TCGA-A2-A04T,0.18029627615078048,0.26195710097469027,0.28577525157470524,0.40295577022512213,0.31128393373593777,0.5260120260737668
TCGA-A2-A04U,0.18428732160695235,0.23109925027746844,0.05402503845699797,0.7567281389654407,0.14557682810803255,0.2147482784570698
TCGA-A2-A04V,0.7347208030000814,0.1567964717287115,0.14512477067148652,0.22898010432573632,0.15066367128434763,0.2252754510826236
TCGA-A2-A04W,0.3908519363500645,0.3775726745771523,0.07509322940852052,0.6970898923056883,0.14691608787523402,0.22551557931837357
TCGA-A2-A04X,0.28531331602354354,0.1170662762770209,0.3789216431159564,0.4599532438884414,0.5205770594138699,0.4571001302201833
TCGA-A2-A04Y,0.36944423827531947,0.35327565061814337,0.16511312954019863,0.39979775400691414,0.298170877619954,0.42104364698907565
TCGA-A2-A0CK,0.739313957568473,0.13840162298096897,0.15385078842661462,0.12425436680289967,0.4350710402690299,0.17916141845457786
TCGA-A2-A0CL,0.4677100586863821,0.25628935713040435,0.6445823976709177,0.4051592325114122,0.3577394145222455,0.512110970633838
TCGA-A2-A0CM,0.3712610829902217,0.35451921109442347,0.26655620825163656,0.30488935034155906,0.48179671519957734,0.6205865606974212
TCGA-A2-A0CO,0.8468452329498376,0.48792387612815574,0.46029259435385106,0.08128644615096098,0.3830505473680322,0.1673041824683434
TCGA-A2-A0CP,0.6799883520303214,0.10721830539441951,0.13466625760822065,0.4013581110124145,0.29224552591015296,0.13062309817079487
TCGA-A2-A0CQ,0.6346215300709692,0.2983117273188829,0.005184870320007632,0.08928107952356838,0.4691138656466343,0.20370019695621638
TCGA-A2-A0CR,0.6488450160237886,0.16419315245550992,0.6798071321626616,0.010726399410388936,0.36858006103386143,0.5328903055824354
TCGA-A2-A0CS,0.5974486111956755,0.14757613217127427,0.023423215897190403,0.33822373621930124,0.25027577366638504,0.3540022759639614
TCGA-A2-A0CT,0.36430740841893655,0.29939178790861903,0.06915109581890769,0.5402167876073719,0.27960831197408864,0.1133061451227255
TCGA-A2-A0CU,0.5675225103817518,0.22920765221728556,0.22790940094380077,0.42039154820159025,0.033728910077375975,0.04765704332709292
TCGA-A2-A0CV,0.7322592875977407,0.30492678148667074,0.21868481610410612,0.26691268946931,0.32595434398852685,0.19040511557006368
TCGA-A2-A0CW,0.2084329587449122,0.11150218752750035,0.09155666952745224,0.5317677155585961,0.5641015569407104,0.362466148912162
TCGA-A2-A0CX,0.26958164534819123,0.2519559235298878,0.08559376854177554,0.6709419732905997,0.29472938800959064,0.5277295111150767
TCGA-A2-A0CY,0.13835680168955047,0.5905835662821091,0.03316245969024869,0.6748543154037226,0.1269271690350987,0.02670614075287774
TCGA-A2-A0CZ,0.7814106856776218,0.18296209139598693,0.19747067681097677,0.22688900671393494,0.27671046883769207,0.3342053751792785
TCGA-A2-A0D0,0.03056362241000029,0.7370028138083313,0.18698138263743527,0.3902480572890498,0.5574039541344847,0.4833915631897573
TCGA-A2-A0D1,0.11110177142521674,0.1006339544883207,0.14531704724083339,0.9372738766100254,0.1617288422411783,0.13272653047493363
TCGA-A2-A0D2,0.3884371948712523,0.3178563953227711,0.31777842631567554,0.4443958733303546,0.32760295056477773,0.3478877130340657
TCGA-A2-A0D3,0.30902556768355566,0.1670135372137599,0.24913327215546197,0.5178259267916759,0.46780375648878264,0.1793432917250614
TCGA-A2-A0D4,0.3672637112690625,0.14198708051719336,0.06631976682897472,0.5166263034912717,0.284947637226256,0.08352760673706912
TCGA-A2-A0EM,0.6411113255662801,0.05542685752822395,0.048654401495591235,0.31233996797704744,0.20598074844493416,0.23355503736778335
TCGA-A2-A0EN,0.5902558376817787,0.293513509877023,0.3285112624746304,0.3348928012306144,0.16992229710397191,0.6084608344167978
TCGA-A2-A0EO,0.7061618012790548,0.1923359372802648,0.2051693750526629,0.33903572911460345,0.25899471148763453,0.2394331296481512
TCGA-A2-A0EP,0.8208325863168242,0.6507698853367317,0.5900507055100442,0.0,0.016782899992147323,0.6013368106302774
TCGA-A2-A0EQ,0.3062520581954699,0.2377786275315474,0.5908670966434603,0.382877573950584,0.38587589514782333,0.5211111583403641
TCGA-A2-A0ER,0.5352163401221489,0.2874774285946143,0.1395810292936626,0.2975063341355527,0.19263574941904443,0.15023387529894733
TCGA-A2-A0ES,0.7574550486195953,0.4329579114884907,0.12048642063880274,0.1694207910786566,0.12003980532353863,0.2885908151313477
TCGA-A2-A0ET,0.3643105469766424,0.1764657755884284,0.14499603294973987,0.0653348654233912,0.5504818883623466,0.3001198444368516
TCGA-A2-A0EU,0.4372337945572863,0.3730095476939359,0.08398091243361533,0.4956170813087593,0.2632109154667475,0.1242946318268117
TCGA-A2-A0EV,0.5878163027706383,0.04305806424043548,0.1144792568405567,0.27351661060632254,0.3810220208583719,0.4657060788528742
TCGA-A2-A0EW,0.8036767099210372,0.33768584020533376,0.21552795377667283,0.18538964517125314,0.16515410876036446,0.24114008860120273
TCGA-A2-A0EX,0.6616604269027686,0.104976404298718,0.29862214132675774,0.41807999498326454,0.21234168253286234,0.07218384357784541
TCGA-A2-A0EY,0.4057743121116536,0.283788341481805,0.22582407824695808,0.4073834904012219,0.0,0.40875714489263726
TCGA-A2-A0ST,0.5188773884543602,0.643639207587155,0.717281900516019,0.0,0.41138464097152355,0.5674792215835729
TCGA-A2-A0SU,0.6124614857291644,0.1360828117121348,0.19532786412493588,0.350417465520849,0.3078631305335821,0.18127548626624854
TCGA-A2-A0SV,0.4367141442643943,0.2531940796653918,0.021853986611045807,0.4098650425293214,0.3196938276608731,0.548727745657523
TCGA-A2-A0SW,0.3997798320351426,0.025526562307055595,0.3449031433002567,0.4477572123147242,0.5270773890686875,0.4234210994077087
TCGA-A2-A0SX,0.46462251831362567,0.2727381685875728,0.3958093399885531,0.37441291950126987,0.41332093950703863,0.4266292776897658
TCGA-A2-A0SY,0.7810010612797225,0.24398082232552448,0.3386816949601768,0.16237974952319245,0.13873379380432557,0.28531855091935515
TCGA-A2-A0T0,0.10864939242845122,0.590711797030477,0.0515853426679899,0.7858034852579941,0.0,0.5687131656832061
TCGA-A2-A0T1,0.5566110624495244,0.23411804277917853,0.34106297363555155,0.2676542615192281,0.33182902803551906,0.6217044876036053
TCGA-A2-A0T2,0.09039375863769951,0.4207490511900057,0.05243316368263216,0.8413136096324386,0.1746165016626562,0.46480512671770896
TCGA-A2-A0T3,0.5631640484792023,0.14745470214625336,0.15250756219636885,0.4465477071376974,0.20311296050054578,0.007055389745866047
TCGA-A2-A0T4,0.6838920871826322,0.17553905856462865,0.16565774382365941,0.1975640528797707,0.25275522114512483,0.3798357522579734
TCGA-A2-A0T5,0.5325967911370668,0.29302015558170663,0.1391403961044602,0.48245606945894154,0.16531983692519936,0.10049436783694905
TCGA-A2-A0T6,0.8149227865676784,0.3793749540116483,0.2587370173278851,0.14381414380083687,0.20016411223745867,0.33287992229024416
TCGA-A2-A0T7,0.6252175523845954,0.23628121841699948,0.04522223269921283,0.3361481750444661,0.3119856079414576,0.235564453627222
TCGA-A2-A0YC,0.58216579876413,0.160260217594679,0.10525601165257113,0.33964998159238974,0.2501491753533706,0.34838148062481367
TCGA-A2-A0YD,0.8030888169158531,0.45801583919109196,0.12707325962078406,0.2029908097490881,0.13698864938959798,0.39847678309467943
TCGA-A2-A0YE,0.32248719762540423,0.28359937388198936,0.08198466588928695,0.49002065589184557,0.34392438758747745,0.16655628128238795
TCGA-A2-A0YF,0.5253665496205762,0.27294375662245907,0.06504073271017262,0.35955489857015704,0.22825892617763724,0.2935356749475106
TCGA-A2-A0YG,0.34600899144593006,0.14209045484803617,0.0808226711625294,0.4944687020152274,0.33977641366593947,0.2718157132356757
TCGA-A2-A0YH,0.2822286136020914,0.18567066697935114,0.16674122624214827,0.5149714342881163,0.2760152607944373,0.6603702832751991
TCGA-A2-A0YI,0.5813736285573636,0.325608244381406,0.2812875624661266,0.28824555541667957,0.13513844100686845,0.45399564980535956
TCGA-A2-A0YJ,0.04576316825261875,0.4403584339668262,0.04320261337325158,0.8017541792584921,0.15114157397735212,0.2063352655530532
TCGA-A2-A0YK,0.7049368979826297,0.42858156132978137,0.520929333739554,0.20151132073370423,0.38396709300389126,0.23457914459690157
TCGA-A2-A0YL,0.7608363437591655,0.22506806114184205,0.1492336013697274,0.26876750019502244,0.2946302726473376,0.19973280313505934
TCGA-A2-A0YM,0.25868752360823416,0.721484907978882,0.09919278909383437,0.3539840815291345,0.3815150705941315,0.43825350807245617
TCGA-A2-A0YT,0.38516348980698084,0.23343289404451725,0.05389018970752522,0.40832702934510134,0.3294139914232982,0.2965688945233985
TCGA-A2-A1FV,0.6089611117770589,0.2578677878657135,0.03554724511417668,0.3596731518762689,0.0,0.0
TCGA-A2-A1FW,0.35154340176919446,0.015048019413195493,0.14273878296707096,0.44685725162615414,0.27670292371415545,0.2000778759917174
TCGA-A2-A1FX,0.5745642992273248,0.1497216612832125,0.1023586283643167,0.3074191207415003,0.18574503019755992,0.3048195822782077
TCGA-A2-A1FZ,0.7404333025935484,0.16850839963111286,0.06366713175815071,0.16920821489094734,0.05461119493818427,0.4271949772567749
TCGA-A2-A1G0,0.7100708144142018,0.2826273253539394,0.24269813277251626,0.250195310454591,0.1114125930147131,0.23283821400484206
TCGA-A2-A1G1,0.29811691691271947,0.382611318904457,0.22567725406489164,0.5855553134191547,0.4148076723508694,0.5266527679430532
TCGA-A2-A1G4,0.34696715434513903,0.21946796791383885,0.25219130591936384,0.45613012235196815,0.003731277130487251,0.17351066927303158
TCGA-A2-A1G6,0.6976067170634267,0.3848219947908417,0.10821778285063774,0.060818113130342515,0.12670358867721337,0.26377781895958674
TCGA-A2-A259,0.6827476110528481,0.45459777819712577,0.31847926218747363,0.25712576327824244,0.21534716281787478,0.1372729523713117
