sample_id,sig__APM_score,sig__B_cell,sig__CAF_proxy,sig__CD4_T_cell,sig__CD8_T_cell,sig__CXCL1_MDSC_axis,sig__Dendritic,sig__HLA_II_score,sig__HLA_I_score,sig__IFN_gamma,sig__IL6_STAT3_axis,sig__M2_macrophage,sig__M2_polarization,sig__MDSC_proxy,sig__NK_cell,sig__TGFb_activity,sig__TLS_signature,sig__Treg,sig__angiogenesis,sig__checkpoint_score,sig__cytolytic_score,sig__hypoxia_score,sig__immune_exclusion
TCGA-BH-A0EB,1.5863705946592102,0.16152209508434176,0.7237371846058076,1.2057539824305026,0.45777399216349235,0.24385114995821025,1.217690605840043,0.8437099769833604,0.47086626460043274,0.9269843693558467,-0.39780848431023985,0.541357314500423,0.34905955848747033,0.24691519946451657,0.9873249209633052,-0.05368041125783096,-0.3546170950856656,0.6641170600385885,0.9456099832789827,0.8340232340484236,0.4635180363860168,-0.5630285305867547,0.8200235430057161
TCGA-BH-A0EE,1.890495731680272,0.7020023680743187,-4.983861482432588,-0.06320178200788402,0.7826086231700848,2.1572694916447848,-0.16727847861001863,0.24153355069649515,1.1776053278818297,1.6523924748970333,-0.04639313323599972,-1.761475669660326,-1.3960708678226477,2.267274224836172,0.2144898618509957,-1.8734200290617058,0.012244498039663371,0.8479910679735112,-0.3747880141357628,1.8222359773707273,1.6671107803997145,2.300434303145944,-0.6329062142170901
TCGA-BH-A0EI,-0.5708238524322697,-0.743992651398383,0.9922819657794353,-1.6672951368676499,-1.5526795546459717,-1.1593442569307826,-1.19696232123186,-0.604028898814644,-1.1081024933205206,-0.2273104019349174,-1.0340261272958737,-0.5950859629626568,-0.995625327261128,-1.1270350017111996,-1.5109708782450373,1.0162580222782196,-0.9846727567830017,-0.6936827084764406,-0.17068183753897234,0.5158194356135183,-1.5569388848752703,-0.20233856564695307,2.096809389361123
TCGA-BH-A0GY,-0.30983497362837337,1.160396428547053,0.3904471501481736,0.21306670915225642,0.07637222786806928,0.6437148834265596,0.07323508375740141,0.25549441076641044,-0.3491304947235543,0.5527107679278016,0.8333334616681058,0.30354615489589115,0.5334417896931192,2.115402291174784,0.0257469658441267,0.5399436636597696,0.3378717320558771,0.29754248752782425,-0.35951180815303196,0.6223237594962554,0.08913770409358207,1.318037868134446,0.7476387480442074
TCGA-BH-A0GZ,-1.8245461165338313,-0.606808409396084,0.7148720996750124,-0.6941445378457938,-0.6237027026892747,-0.3106409273486578,-1.0110730265492094,-0.5703496065160293,-1.2092334089122798,-0.7362618715698501,-0.49956307417586626,-1.2619382934861296,-1.148673874896408,0.5323774475832213,-0.7455321306705818,-0.214245688184908,-0.9279538010234496,-0.4484533376996906,0.43638239857216704,-1.0920800398092452,-0.5655128104317964,-1.005472850668559,-0.9935545046232153
TCGA-BH-A0H0,-1.6334130196393455,-0.17512749352266438,-3.490001881322716,-0.8145305151447222,-0.23576700552143207,-0.35222759456613995,-0.4242414100940044,-0.7166438305973657,-1.6680065420802925,-0.07909300084293562,-0.7865307286317443,-0.7314873421519055,-0.2902665799296715,-1.002959551163096,-0.8171117171000679,-1.0052391869941055,-0.5843260608494215,1.0482129427541211,-0.2573431480217772,-0.28828920189176793,-0.49205007791071603,-2.468929038692285,-2.033844827366797
TCGA-BH-A0H3,0.19046991972643473,-0.1601750972022569,0.8832301293328377,-0.09926868620074551,0.18850240022040063,0.28362910442760264,0.716521988113717,0.33419414914626994,-0.5116001831174121,0.09122857607857049,0.026559708789258007,-0.34800697629556415,0.11797130571855,-0.3209328312206005,-0.3807512358436859,1.6213106035012932,0.22434284460957715,-0.0650470284425154,1.1443919664261066,-0.3768349495237815,-0.1777266881449246,-0.4927789364855321,0.12849260880024715
TCGA-BH-A0H5,0.3904974950352595,1.6665157071775465,-0.9435154315386144,1.5010554727535383,1.6877535963034267,0.9250973914035066,1.371635167157594,0.9478645957510894,0.9101627434931273,1.055919112362962,1.0958438911671395,-0.07399596964026504,-0.009975872073825035,-0.1239405926863509,1.0058217424940104,0.222756790573148,1.3642234107506612,0.43862217872196857,0.07296949662404367,0.8214490763959443,1.6308017737803002,-0.6267738438083573,-0.4048765481907662
TCGA-BH-A0H6,-1.9797997710750275,-1.2128488471339651,0.6664993278462509,-1.2198540401877012,-1.0319218219441784,-0.6358596731909143,-0.5644324065365747,-0.45818002897033977,-1.259844351882226,-0.952655638483487,0.22089624066043517,-0.775372400032345,-0.6365755470269634,-0.5755639846753644,-0.9061300975574542,1.773159414950924,-0.9017184347265251,-0.5279634905640818,-0.04112153768159722,-0.8254868604569128,-0.8646228847706949,0.6338065419621122,0.01787969204933766
TCGA-BH-A0H7,0.33935633097094403,0.18193751639064737,0.21337765795453617,-0.7498125035123834,-0.260317563817282,-0.6133839317956908,-0.46916367030634937,-0.9916512470922463,-0.021742175527192424,-0.43188035709494155,-1.608591228257496,-0.5878072665410738,-0.5151436242102904,-0.42614797695460643,-0.581673985539387,-0.012536614466507126,0.08418707884033481,-0.5245433452310465,0.15641990403568798,-0.7548452236729728,-0.3104121983430484,0.175167852253139,-0.18848924141054302
